Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TOI,ATOI,Awards,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Craig Simpson,1994-95,27,BUF,NHL,24,4,7,11,26,20,"","","",13,6,12,0,-5,0.5,0.2,0.7
Craig Wolanin,1985-86,18,NJD,NHL,44,2,16,18,74,45,"","","",48,6,63,14,-7,0.5,1.5,2.0
Craig Wolanin,1986-87,19,NJD,NHL,68,4,6,10,109,68,"","","",46,2,95,20,-34,-0.3,0.9,0.6
Craig Wolanin,1987-88,20,NJD,NHL,78,6,25,31,170,113,"","","",79,18,89,28,0,1.1,4.0,5.1
Craig Wolanin,1988-89,21,NJD,NHL,56,3,8,11,69,70,"","","",40,3,59,13,-9,-0.1,2.0,1.9
Craig Wolanin,1989-90,22,TOT,NHL,50,1,10,11,57,60,"","","",43,1,71,18,-11,-0.1,1.8,1.7
Craig Wolanin,1990-91,23,QUE,NHL,80,5,13,18,89,109,"","","",74,1,133,47,-13,0.1,2.5,2.6
Craig Wolanin,1991-92,24,QUE,NHL,69,2,11,13,80,71,"","","",57,0,98,29,-12,-0.2,2.5,2.2
Craig Wolanin,1992-93,25,QUE,NHL,24,1,4,5,49,17,"","","",26,0,24,7,9,0.0,1.5,1.5
Craig Wolanin,1993-94,26,QUE,NHL,63,6,10,16,80,78,"","","",63,4,70,27,16,0.5,3.6,4.1
Craig Wolanin,1994-95,27,QUE,NHL,40,3,6,9,40,36,"","","",37,2,36,13,12,0.3,2.1,2.4
Craig Wolanin,1995-96,28,COL,NHL,75,7,20,27,50,73,"","","",80,2,81,28,25,1.5,4.3,5.8
Craig Wolanin,1996-97,29,TOT,NHL,38,0,4,4,21,43,"","","",20,0,30,4,-6,-0.4,1.4,1.0
Craig Wolanin,1997-98,30,TOR,NHL,10,0,0,0,6,5,"","","",1,0,10,0,-9,-0.2,-0.2,-0.4
Jim Sandlak,1985-86,19,VAN,NHL,23,1,3,4,10,34,"","","",9,3,10,0,-3,-0.5,0.3,-0.2
Jim Sandlak,1986-87,20,VAN,NHL,78,15,21,36,66,114,"","","",57,19,42,0,-6,0.8,1.0,1.9
Jim Sandlak,1987-88,21,VAN,NHL,49,16,15,31,81,96,"","","",52,21,41,1,-9,1.6,0.5,2.1
Jim Sandlak,1988-89,22,VAN,NHL,72,20,20,40,99,164,"","","",64,20,36,0,8,1.6,1.5,3.1
Jim Sandlak,1989-90,23,VAN,NHL,70,15,8,23,104,135,"","","",41,7,49,0,-15,0.1,0.7,0.8
Jim Sandlak,1990-91,24,VAN,NHL,59,7,6,13,125,88,"","","",22,7,35,0,-20,-0.6,0.3,-0.3
Jim Sandlak,1991-92,25,VAN,NHL,66,16,24,40,176,122,"","","",58,10,27,1,22,1.8,1.5,3.3
Jim Sandlak,1992-93,26,VAN,NHL,59,10,18,28,122,104,"","","",44,14,35,7,2,0.6,0.5,1.1
Jim Sandlak,1993-94,27,HAR,NHL,27,6,2,8,32,32,"","","",16,2,9,1,6,0.1,0.6,0.7
Jim Sandlak,1994-95,28,HAR,NHL,13,0,0,0,0,13,"","","",2,0,12,0,-10,-0.5,-0.2,-0.7
Jim Sandlak,1995-96,29,VAN,NHL,33,4,2,6,6,44,"","","",13,1,18,3,-3,-0.4,0.2,-0.2
Dana Murzyn,1985-86,19,HAR,NHL,78,3,23,26,125,80,"","","",80,8,76,5,0,0.4,3.9,4.4
Dana Murzyn,1986-87,20,HAR,NHL,74,9,19,28,95,135,"","",AS-24,88,4,70,3,16,1.3,4.8,6.1
Dana Murzyn,1987-88,21,TOT,NHL,74,7,11,18,139,107,"","","",72,3,78,10,1,0.3,3.6,3.9
Dana Murzyn,1988-89,22,CGY,NHL,63,3,19,22,142,91,"","","",60,6,43,15,26,0.6,4.6,5.2
Dana Murzyn,1989-90,23,CGY,NHL,78,7,13,20,140,97,"","","",80,1,82,22,19,0.4,4.8,5.3
Dana Murzyn,1990-91,24,TOT,NHL,29,1,2,3,38,40,"","","",21,0,33,5,-7,-0.3,0.9,0.6
Dana Murzyn,1991-92,25,VAN,NHL,70,3,11,14,147,99,"","","",67,3,68,19,15,-0.1,4.6,4.5
Dana Murzyn,1992-93,26,VAN,NHL,79,5,11,16,196,82,"","","",83,1,74,26,34,-0.1,4.9,4.9
Dana Murzyn,1993-94,27,VAN,NHL,80,6,14,20,109,79,"","","",66,0,100,38,4,0.5,4.0,4.6
Dana Murzyn,1994-95,28,VAN,NHL,40,0,8,8,129,29,"","","",35,0,29,8,14,-0.1,2.8,2.7
Dana Murzyn,1995-96,29,VAN,NHL,69,2,10,12,130,68,"","","",62,0,88,35,9,-0.1,3.4,3.2
Dana Murzyn,1996-97,30,VAN,NHL,61,1,7,8,118,70,"","","",55,0,68,20,7,-0.4,2.8,2.4
Dana Murzyn,1997-98,31,VAN,NHL,31,5,2,7,42,29,"","","",23,1,41,16,-3,0.6,0.8,1.4
Dana Murzyn,1998-99,32,VAN,NHL,12,0,2,2,21,7,180,15:02,"",7,0,7,1,1,0.0,0.5,0.5
Brad Dalgarno,1985-86,18,NYI,NHL,2,1,0,1,0,3,"","","",2,0,1,0,1,0.1,0.0,0.1
Brad Dalgarno,1987-88,20,NYI,NHL,38,2,8,10,58,39,"","","",19,5,10,0,4,-0.6,0.5,-0.1
Brad Dalgarno,1988-89,21,NYI,NHL,55,11,10,21,86,83,"","","",42,14,36,0,-8,0.2,0.6,0.8
Brad Dalgarno,1990-91,23,NYI,NHL,41,3,12,15,24,34,"","","",19,1,28,0,-10,-0.1,0.3,0.2
Brad Dalgarno,1991-92,24,NYI,NHL,15,2,1,3,12,17,"","","",5,2,11,0,-8,-0.2,-0.1,-0.3
Brad Dalgarno,1992-93,25,NYI,NHL,57,15,17,32,62,62,"","","",50,3,30,0,17,1.3,1.2,2.5
Brad Dalgarno,1993-94,26,NYI,NHL,73,11,19,30,62,97,"","","",49,6,38,9,14,0.7,1.2,1.9
Brad Dalgarno,1994-95,27,NYI,NHL,22,3,2,5,14,18,"","","",7,1,17,3,-8,-0.1,0.0,-0.1
Brad Dalgarno,1995-96,28,NYI,NHL,18,1,2,3,14,11,"","","",4,1,5,0,-2,-0.4,0.2,-0.2
Ulf Dahlen,1987-88,21,NYR,NHL,70,29,23,52,26,159,"","",Calder-6,73,27,41,0,5,3.1,1.2,4.3
Ulf Dahlen,1988-89,22,NYR,NHL,56,24,19,43,50,147,"","","",64,26,44,0,-6,2.6,0.5,3.1
Ulf Dahlen,1989-90,23,TOT,NHL,76,20,22,42,30,135,"","","",80,42,41,0,-3,1.7,1.1,2.8
Ulf Dahlen,1990-91,24,MNS,NHL,66,21,18,39,6,133,"","","",55,12,36,0,7,2.2,1.2,3.4
Ulf Dahlen,1991-92,25,MNS,NHL,79,36,30,66,10,216,"","","Byng-9,Selke-24",90,39,58,2,-5,4.9,1.2,6.1
Ulf Dahlen,1992-93,26,MNS,NHL,83,35,39,74,6,223,"","","",100,51,69,0,-20,5.0,0.7,5.7
Ulf Dahlen,1993-94,27,TOT,NHL,78,25,44,69,10,190,"","","",103,52,52,0,-1,4.9,1.0,5.8
Ulf Dahlen,1994-95,28,SJS,NHL,46,11,23,34,11,85,"","","",48,16,34,0,-2,2.3,0.5,2.8
Ulf Dahlen,1995-96,29,SJS,NHL,59,16,12,28,27,103,"","","",45,20,46,0,-21,1.6,0.0,1.6
Ulf Dahlen,1996-97,30,TOT,NHL,73,14,19,33,18,131,"","","",53,16,39,0,-2,1.6,0.9,2.6
Ulf Dahlen,1999-00,33,WSH,NHL,75,15,23,38,8,106,949,12:40,Byng-23,50,11,28,0,11,2.9,1.4,4.3
Ulf Dahlen,2000-01,34,WSH,NHL,73,15,33,48,6,145,1081,14:48,Byng-40,65,19,35,0,11,3.4,1.7,5.1
Ulf Dahlen,2001-02,35,WSH,NHL,69,23,29,52,8,141,1114,16:09,"",67,24,53,5,-5,5.0,0.9,5.9
Ulf Dahlen,2002-03,36,DAL,NHL,63,17,20,37,14,100,871,13:49,Byng-20,60,28,21,0,11,3.4,1.4,4.8
Brent Fedyk,1987-88,20,DET,NHL,2,0,1,1,2,2,"","","",1,0,2,0,-1,0.0,0.0,0.0
Brent Fedyk,1988-89,21,DET,NHL,5,2,0,2,0,6,"","","",3,1,3,0,-1,0.1,0.0,0.1
Brent Fedyk,1989-90,22,DET,NHL,27,1,4,5,6,28,"","","",11,1,13,2,-1,-0.6,0.3,-0.3
Brent Fedyk,1990-91,23,DET,NHL,67,16,19,35,38,74,"","","",45,0,40,15,20,1.4,1.3,2.7
Brent Fedyk,1991-92,24,DET,NHL,61,5,8,13,42,60,"","","",20,0,35,10,-5,-0.9,0.4,-0.5
Brent Fedyk,1992-93,25,PHI,NHL,74,21,38,59,48,167,"","","",95,24,73,16,14,3.2,1.1,4.3
Brent Fedyk,1993-94,26,PHI,NHL,72,20,18,38,74,104,"","","",52,11,65,10,-14,2.0,0.4,2.3
Brent Fedyk,1994-95,27,PHI,NHL,30,8,4,12,14,41,"","","",23,12,16,3,-2,0.7,0.3,1.0
Brent Fedyk,1995-96,28,TOT,NHL,65,20,14,34,54,113,"","","",47,16,56,9,-16,2.1,0.4,2.5
Brent Fedyk,1998-99,31,NYR,NHL,67,4,6,10,30,47,744,11:06,"",13,1,38,15,-11,-0.5,0.5,-0.1
Craig Duncanson,1985-86,18,LAK,NHL,2,0,1,1,0,0,"","","",1,0,2,0,-1,0.0,0.0,0.0
Craig Duncanson,1986-87,19,LAK,NHL,2,0,0,0,24,1,"","","",2,2,0,0,0,-0.1,0.0,-0.1
Craig Duncanson,1987-88,20,LAK,NHL,9,0,0,0,12,8,"","","",2,1,6,0,-5,-0.3,0.0,-0.4
Craig Duncanson,1988-89,21,LAK,NHL,5,0,0,0,0,1,"","","",0,0,1,0,-1,-0.2,0.0,-0.2
Craig Duncanson,1989-90,22,LAK,NHL,10,3,2,5,9,12,"","","",6,0,5,0,1,0.2,0.1,0.3
Craig Duncanson,1990-91,23,WIN,NHL,7,2,0,2,16,6,"","","",2,0,7,0,-5,0.0,0.0,0.0
Craig Duncanson,1992-93,25,NYR,NHL,3,0,1,1,0,1,"","","",1,0,1,0,0,0.0,0.0,0.0
Dan Gratton,1987-88,21,LAK,NHL,7,1,0,1,5,3,"","","",1,0,0,0,1,-0.1,0.1,0.0
Dave Manson,1986-87,20,CHI,NHL,63,1,8,9,146,41,"","","",49,0,57,6,-4,-0.6,2.4,1.8
Dave Manson,1987-88,21,CHI,NHL,54,1,6,7,185,47,"","","",38,1,62,13,-12,-0.6,1.8,1.3
Dave Manson,1988-89,22,CHI,NHL,79,18,36,54,352,224,"","","",151,50,159,63,5,3.8,3.5,7.2
Dave Manson,1989-90,23,CHI,NHL,59,5,23,28,301,126,"","",AS-20,88,20,85,21,4,1.2,3.0,4.3
Dave Manson,1990-91,24,CHI,NHL,75,14,15,29,191,154,"","","",93,18,77,22,20,1.8,5.6,7.4
Dave Manson,1991-92,25,EDM,NHL,79,15,32,47,220,206,"","","",130,39,110,28,9,3.2,3.5,6.7
Dave Manson,1992-93,26,EDM,NHL,83,15,30,45,210,244,"","","",118,46,137,37,-28,2.8,2.6,5.4
Dave Manson,1993-94,27,TOT,NHL,70,4,17,21,191,180,"","",AS-17,85,25,104,30,-14,0.6,2.4,3.1
Dave Manson,1994-95,28,WIN,NHL,44,3,15,18,139,104,"","","",48,13,79,24,-20,1.0,0.3,1.3
Dave Manson,1995-96,29,WIN,NHL,82,7,23,30,205,189,"","","",112,18,130,44,8,1.7,3.7,5.4
Dave Manson,1996-97,30,TOT,NHL,75,4,18,22,187,175,"","","",59,15,83,13,-26,0.9,2.0,3.0
Dave Manson,1997-98,31,MTL,NHL,81,4,30,34,122,148,"","","",88,21,65,20,22,2.1,5.4,7.5
Dave Manson,1998-99,32,TOT,NHL,75,6,17,23,155,145,1638,21:50,"",66,16,75,26,1,1.4,3.1,4.5
Dave Manson,1999-00,33,TOT,NHL,63,1,9,10,62,66,992,15:45,"",49,7,35,5,12,0.1,3.0,3.1
Dave Manson,2000-01,34,TOR,NHL,74,4,7,11,93,70,1169,15:48,"",51,3,41,6,13,0.3,3.4,3.7
Dave Manson,2001-02,35,TOT,NHL,47,0,2,2,33,36,604,12:51,"",19,0,21,4,2,-0.4,1.4,0.9
Jose Charbonneau,1987-88,21,MTL,NHL,16,0,2,2,6,22,"","","",6,0,5,0,1,-0.5,0.2,-0.2
Jose Charbonneau,1988-89,22,TOT,NHL,22,1,4,5,12,31,"","","",14,7,12,1,-4,-0.4,0.2,-0.2
Jose Charbonneau,1993-94,27,VAN,NHL,30,7,7,14,49,28,"","","",19,4,18,0,-3,0.6,0.3,0.9
Jose Charbonneau,1994-95,28,VAN,NHL,3,1,0,1,0,2,"","","",3,0,3,0,0,0.1,0.0,0.1
Derek King,1986-87,19,NYI,NHL,2,0,0,0,0,5,"","","",1,0,1,0,0,-0.1,0.0,-0.1
Derek King,1987-88,20,NYI,NHL,55,12,24,36,30,94,"","","",62,19,36,0,7,1.5,0.8,2.2
Derek King,1988-89,21,NYI,NHL,60,14,29,43,14,103,"","","",65,21,34,0,10,1.9,1.1,3.0
Derek King,1989-90,22,NYI,NHL,46,13,27,40,20,91,"","","",55,19,34,0,2,2.1,0.6,2.8
Derek King,1990-91,23,NYI,NHL,66,19,26,45,44,130,"","","",63,20,42,0,1,2.6,1.1,3.6
Derek King,1991-92,24,NYI,NHL,80,40,38,78,46,189,"","",AS-8,107,49,68,0,-10,6.1,0.6,6.7
Derek King,1992-93,25,NYI,NHL,77,38,38,76,47,201,"","","",132,66,70,0,-4,5.6,0.8,6.4
Derek King,1993-94,26,NYI,NHL,78,30,40,70,59,171,"","","",112,43,51,0,18,5.5,1.4,6.9
Derek King,1994-95,27,NYI,NHL,43,10,16,26,41,118,"","","",44,16,34,1,-5,1.7,0.4,2.1
Derek King,1995-96,28,NYI,NHL,61,12,20,32,23,154,"","","",50,13,52,5,-10,1.5,0.6,2.0
Derek King,1996-97,29,TOT,NHL,82,26,33,59,22,181,"","","",96,26,76,0,-6,5.0,0.9,5.9
Derek King,1997-98,30,TOR,NHL,77,21,25,46,43,166,"","","",61,20,48,0,-7,4.0,0.8,4.9
Derek King,1998-99,31,TOR,NHL,81,24,28,52,20,150,1137,14:02,"",74,21,38,0,15,4.8,1.2,6.0
Derek King,1999-00,32,TOT,NHL,22,2,7,9,8,33,276,12:34,"",12,5,9,0,-2,0.4,0.2,0.6
Calle Johansson,1987-88,20,BUF,NHL,71,4,38,42,37,93,"","",Calder-8,96,33,90,39,12,1.9,4.0,5.9
Calle Johansson,1988-89,21,TOT,NHL,59,3,18,21,37,75,"","","",63,16,73,20,-6,0.6,2.7,3.3
Calle Johansson,1989-90,22,WSH,NHL,70,8,31,39,25,103,"","","",93,36,60,10,7,2.1,4.2,6.3
Calle Johansson,1990-91,23,WSH,NHL,80,11,41,52,23,128,"","","",111,41,82,10,-2,3.2,4.9,8.1
Calle Johansson,1991-92,24,WSH,NHL,80,14,42,56,49,119,"","",AS-14,140,52,103,17,2,3.8,3.9,7.6
Calle Johansson,1992-93,25,WSH,NHL,77,7,38,45,56,133,"","","",119,42,107,33,3,2.2,4.3,6.5
Calle Johansson,1993-94,26,WSH,NHL,84,9,33,42,59,141,"","","",100,28,111,42,3,2.5,4.5,6.9
Calle Johansson,1994-95,27,WSH,NHL,46,5,26,31,35,112,"","","",61,33,51,17,-6,2.3,2.5,4.8
Calle Johansson,1995-96,28,WSH,NHL,78,10,25,35,50,182,"","","AS-18,Norris-16",82,31,75,37,13,2.3,5.7,8.0
Calle Johansson,1996-97,29,WSH,NHL,65,6,11,17,16,133,"","","",57,15,68,24,-2,0.9,3.7,4.6
Calle Johansson,1997-98,30,WSH,NHL,73,15,20,35,30,163,"","","AS-20,Norris-16",80,35,79,23,-11,3.6,3.2,6.8
Calle Johansson,1998-99,31,WSH,NHL,67,8,21,29,22,145,1606,23:58,"",81,27,64,20,10,2.3,4.4,6.7
Calle Johansson,1999-00,32,WSH,NHL,82,7,25,32,24,138,1961,23:55,"",80,14,83,30,13,2.0,5.1,7.0
Calle Johansson,2000-01,33,WSH,NHL,76,7,29,36,26,154,1804,23:44,"",79,24,76,32,11,2.4,4.8,7.3
Calle Johansson,2001-02,34,WSH,NHL,11,2,0,2,8,18,233,21:14,"",3,1,10,4,-4,0.2,0.1,0.3
Calle Johansson,2002-03,35,WSH,NHL,82,3,12,15,22,77,1784,21:45,"",56,5,66,24,9,0.0,3.8,3.8
Calle Johansson,2003-04,36,TOR,NHL,8,0,6,6,0,8,140,17:28,"",9,2,3,1,5,0.5,0.7,1.2
David Latta,1985-86,19,QUE,NHL,1,0,0,0,0,1,"","","",0,0,0,0,0,0.0,0.0,0.0
David Latta,1987-88,21,QUE,NHL,10,0,0,0,0,13,"","","",2,1,5,0,-4,-0.4,0.0,-0.3
David Latta,1988-89,22,QUE,NHL,24,4,8,12,4,30,"","","",16,4,20,0,-8,0.2,0.2,0.4
David Latta,1990-91,24,QUE,NHL,1,0,0,0,0,1,"","","",0,0,0,0,0,0.0,0.0,0.0
Tom Chorske,1989-90,23,MTL,NHL,14,3,1,4,2,19,"","","",6,1,3,0,2,0.0,0.2,0.2
Tom Chorske,1990-91,24,MTL,NHL,57,9,11,20,32,82,"","","",34,14,28,0,-8,0.1,0.5,0.7
Tom Chorske,1991-92,25,NJD,NHL,76,19,17,36,32,143,"","","",53,0,70,25,8,1.4,1.1,2.5
Tom Chorske,1992-93,26,NJD,NHL,50,7,12,19,25,63,"","","",30,0,41,10,-1,0.0,0.6,0.6
Tom Chorske,1993-94,27,NJD,NHL,76,21,20,41,32,131,"","","",55,1,58,18,14,2.3,1.1,3.4
Tom Chorske,1994-95,28,NJD,NHL,42,10,8,18,16,59,"","","",27,0,42,11,-4,0.9,0.4,1.4
Tom Chorske,1995-96,29,OTT,NHL,72,15,14,29,21,118,"","","",44,3,87,37,-9,1.1,0.9,2.0
Tom Chorske,1996-97,30,OTT,NHL,68,18,8,26,16,116,"","","",39,3,47,10,-1,1.5,1.0,2.5
Tom Chorske,1997-98,31,NYI,NHL,82,12,23,35,39,132,"","","",57,11,58,19,7,1.9,1.5,3.4
Tom Chorske,1998-99,32,TOT,NHL,26,0,3,3,8,44,317,12:11,"",8,0,22,6,-8,-0.5,0.0,-0.5
Tom Chorske,1999-00,33,PIT,NHL,33,1,5,6,2,14,259,7:50,"",8,0,17,7,-2,0.0,0.2,0.1
Ryan Stewart,1985-86,18,WIN,NHL,3,1,0,1,0,5,"","","",1,0,1,0,0,0.0,0.0,0.1
Yvon Corriveau,1985-86,18,WSH,NHL,2,0,0,0,0,3,"","","",1,0,2,0,-1,-0.1,0.0,-0.1
Yvon Corriveau,1986-87,19,WSH,NHL,17,1,1,2,24,7,"","","",4,0,8,0,-4,-0.4,0.1,-0.3
Yvon Corriveau,1987-88,20,WSH,NHL,44,10,9,19,84,52,"","","",29,0,12,0,17,0.5,1.2,1.6
Yvon Corriveau,1988-89,21,WSH,NHL,33,3,2,5,62,39,"","","",12,0,12,0,0,-0.7,0.5,-0.2
Yvon Corriveau,1989-90,22,TOT,NHL,63,13,7,20,72,90,"","","",32,3,28,1,2,0.0,0.9,0.9
Yvon Corriveau,1990-91,23,HAR,NHL,23,1,1,2,18,21,"","","",4,0,12,0,-8,-0.6,0.1,-0.5
Yvon Corriveau,1991-92,24,HAR,NHL,38,12,8,20,36,69,"","","",33,7,26,5,5,1.0,0.7,1.7
Yvon Corriveau,1992-93,25,TOT,NHL,57,8,12,20,14,77,"","","",28,4,45,1,-20,-0.1,0.2,0.2
Yvon Corriveau,1993-94,26,HAR,NHL,3,0,0,0,0,0,"","","",0,0,0,0,0,-0.1,0.0,-0.1
Scott Metcalfe,1987-88,21,TOT,NHL,3,0,1,1,0,1,"","","",1,0,3,0,-2,0.0,0.0,-0.1
Scott Metcalfe,1988-89,22,BUF,NHL,9,1,1,2,13,11,"","","",3,0,4,0,-1,-0.1,0.1,0.0
Scott Metcalfe,1989-90,23,BUF,NHL,7,0,0,0,5,5,"","","",2,0,2,0,0,-0.3,0.1,-0.2
Glen Seabrooke,1986-87,19,PHI,NHL,10,1,4,5,2,10,"","","",8,3,3,0,2,0.1,0.2,0.2
Glen Seabrooke,1987-88,20,PHI,NHL,6,0,1,1,2,3,"","","",2,1,2,0,-1,-0.2,0.0,-0.1
Glen Seabrooke,1988-89,21,PHI,NHL,3,0,1,1,0,0,"","","",1,0,2,0,-1,0.0,0.0,0.0
Lee Giffin,1986-87,19,PIT,NHL,8,1,1,2,0,8,"","","",4,0,2,0,2,-0.1,0.2,0.1
Lee Giffin,1987-88,20,PIT,NHL,19,0,2,2,9,8,"","","",5,1,6,0,-2,-0.6,0.1,-0.4
Joe Nieuwendyk,1986-87,20,CGY,NHL,9,5,1,6,0,16,"","","",8,2,6,0,0,0.5,0.1,0.6
Joe Nieuwendyk,1987-88,21,CGY,NHL,75,51,41,92,23,212,"","","Byng-3,Calder-1",139,65,82,28,20,7.7,1.0,8.7
Joe Nieuwendyk,1988-89,22,CGY,NHL,77,51,31,82,40,215,"","","",115,42,67,20,26,6.8,1.5,8.3
Joe Nieuwendyk,1989-90,23,CGY,NHL,79,45,50,95,40,226,"","",Byng-10,137,51,66,12,32,7.3,1.7,9.0
Joe Nieuwendyk,1990-91,24,CGY,NHL,79,45,40,85,36,222,"","",Byng-13,127,57,71,20,19,7.2,1.2,8.4
Joe Nieuwendyk,1991-92,25,CGY,NHL,69,22,34,56,55,137,"","","",88,33,76,20,-1,3.5,0.6,4.1
Joe Nieuwendyk,1992-93,26,CGY,NHL,79,38,37,75,52,208,"","","",113,43,62,1,9,5.4,1.1,6.5
Joe Nieuwendyk,1993-94,27,CGY,NHL,64,36,39,75,51,191,"","","",102,42,43,2,19,7.0,1.2,8.2
Joe Nieuwendyk,1994-95,28,CGY,NHL,46,21,29,50,33,122,"","","AS-6,Clancy-1",71,27,33,0,11,4.7,0.8,5.5
Joe Nieuwendyk,1995-96,29,DAL,NHL,52,14,18,32,41,138,"","","",50,25,49,7,-17,2.0,0.2,2.2
Joe Nieuwendyk,1996-97,30,DAL,NHL,66,30,21,51,32,173,"","","",63,22,47,1,-5,4.9,0.6,5.5
Joe Nieuwendyk,1997-98,31,DAL,NHL,73,39,30,69,30,203,"","","AS-5,Byng-7,Hart-12",88,38,34,0,16,8.4,1.7,10.0
Joe Nieuwendyk,1998-99,32,DAL,NHL,67,28,27,55,34,157,1042,15:33,Smythe-1,70,27,32,0,11,5.8,1.7,7.5
Joe Nieuwendyk,1999-00,33,DAL,NHL,48,15,19,34,26,110,780,16:15,"",46,18,29,0,-1,2.9,1.0,3.9
Joe Nieuwendyk,2000-01,34,DAL,NHL,69,29,23,52,30,166,1116,16:11,"",76,39,32,0,5,5.2,1.6,6.8
Joe Nieuwendyk,2001-02,35,TOT,NHL,81,25,33,58,22,189,1367,16:52,"",74,27,49,2,0,5.2,1.5,6.7
Joe Nieuwendyk,2002-03,36,NJD,NHL,80,17,28,45,56,201,1340,16:45,"",71,15,48,2,10,2.9,2.0,5.0
Joe Nieuwendyk,2003-04,37,TOR,NHL,64,22,28,50,26,131,1001,15:38,"Byng-28,Selke-49",68,27,35,1,7,5.2,1.2,6.4
Joe Nieuwendyk,2005-06,39,FLA,NHL,65,26,30,56,46,195,1065,16:23,"",75,31,47,1,-2,5.0,0.9,5.9
Joe Nieuwendyk,2006-07,40,FLA,NHL,15,5,3,8,4,30,201,13:24,"",12,7,10,1,-4,0.8,0.0,0.8
Jeff Sharples,1986-87,19,DET,NHL,3,0,1,1,2,1,"","","",2,0,2,0,0,0.0,0.2,0.2
Jeff Sharples,1987-88,20,DET,NHL,56,10,25,35,42,94,"","","",78,27,41,3,13,2.2,3.3,5.4
Jeff Sharples,1988-89,21,DET,NHL,46,4,9,13,26,48,"","","",46,14,29,2,5,0.3,2.2,2.6
Alain Cote,1985-86,18,BOS,NHL,32,0,6,6,14,15,"","","",25,0,25,5,6,-0.2,2.1,1.9
Alain Cote,1986-87,19,BOS,NHL,3,0,0,0,0,1,"","","",2,0,3,0,-1,-0.1,0.1,0.0
Alain Cote,1987-88,20,BOS,NHL,2,0,0,0,0,1,"","","",0,0,1,0,-1,0.0,0.1,0.0
Alain Cote,1988-89,21,BOS,NHL,31,2,3,5,51,45,"","","",18,0,34,7,-9,-0.1,1.4,1.3
Alain Cote,1989-90,22,WSH,NHL,2,0,0,0,7,2,"","","",0,0,3,1,-2,0.0,0.0,0.0
